Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,BradfordH,IpswichA,0,2,0.6,1.8,10.0,11.0,4.2,5.0,6.4,2.2,14.2,12.8,1.0,0.8,0.0,0.0,0
2000-01,########,CharltonH,MiddlesbroughA,1,0,1.8,2.0,10.2,8.0,7.0,5.2,6.8,4.8,10.8,16.6,1.4,2.8,0.2,0.0,1
2000-01,########,ChelseaH,CoventryA,6,1,3.0,1.6,17.8,7.0,9.8,4.8,8.4,4.0,14.2,13.8,1.6,2.2,0.0,0.2,1
2000-01,########,LiverpoolH,LeicesterA,1,0,1.8,0.6,15.2,8.0,8.4,4.0,9.0,5.4,12.0,12.2,1.4,1.8,0.0,0.0,1
2000-01,########,ManUnitedH,LeedsA,3,0,3.4,1.145627,18.4,10.58403,9.4,4.8,7.2,4.776679,12.2,11.95374,0.8,1.749049,0.0,0.090494,1
2000-01,########,NewcastleH,EvertonA,0,1,1.0,1.2,11.4,10.6,4.6,5.6,5.4,4.6,15.2,12.0,0.4,1.8,0.2,0.0,0
2000-01,########,TottenhamH,DerbyA,3,1,2.0,1.4,16.4,9.2,6.6,5.4,6.6,4.6,11.6,13.0,0.6,2.4,0.0,0.0,1
2000-01,########,WestHamH,ArsenalA,1,2,1.0,1.2,14.8,13.6,6.6,6.4,7.8,7.2,12.4,16.0,1.6,1.2,0.2,0.2,0
2000-01,########,AstonVillaH,SunderlandA,0,0,1.521546,0.6,13.48441,7.6,6.19,2.8,6.10545,3.8,11.43219,15.0,1.405703,2.4,0.063371,0.0,2
2000-01,########,SouthamptonH,ManCityA,0,2,1.4,1.2,14.8,8.6,6.8,4.0,6.4,4.2,11.0,16.4,1.6,2.4,0.0,0.0,0
2000-01,########,ArsenalH,ManCityA,5,0,2.8,1.2,16.2,8.2,10.2,3.6,7.2,3.8,10.6,16.6,0.8,2.6,0.0,0.2,1
2000-01,########,AstonVillaH,CharltonA,2,1,1.8,1.6,13.0,7.6,6.8,4.8,6.8,6.4,9.0,11.4,1.0,1.4,0.0,0.0,1
2000-01,########,ChelseaH,TottenhamA,3,0,2.8,0.8,16.2,8.0,9.2,4.0,7.4,3.8,12.8,14.0,2.0,1.8,0.0,0.0,1
2000-01,########,IpswichH,MiddlesbroughA,2,1,1.2,1.6,15.2,6.2,7.0,4.0,6.0,4.2,9.0,15.8,0.6,2.6,0.0,0.0,1
2000-01,########,LeicesterH,DerbyA,2,1,1.2,1.2,11.6,8.6,5.0,4.8,7.6,4.0,9.8,14.4,0.8,2.4,0.0,0.0,1
2000-01,########,ManUnitedH,SouthamptonA,5,0,4.0,0.6,17.8,9.0,9.2,4.2,7.2,8.0,11.8,13.0,0.8,1.4,0.0,0.0,1
2000-01,########,SunderlandH,CoventryA,1,0,1.0,1.2,14.0,7.6,7.6,4.6,4.0,3.6,15.2,11.8,1.8,2.0,0.2,0.2,1
2000-01,########,WestHamH,NewcastleA,1,0,1.2,1.2,13.6,13.0,5.0,7.0,6.2,7.6,12.2,13.4,1.6,1.0,0.0,0.0,1
