,HomeTeam,AwayTeam,Ave L5 HG,Ave L5 AG,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Home-AwayG,Home-AwaySHTT,Home-AwayCorners,Home-AwayFouls,SumofAdvantages,Result
24,MiddlesbroughH,LeedsA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
25,NewcastleH,TottenhamA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
26,SouthamptonH,LiverpoolA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
27,WestHamH,ManUnitedA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
28,AstonVillaH,ChelseaA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
29,LeedsH,ManCityA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
30,ManUnitedH,BradfordA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
31,SunderlandH,WestHamA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
32,TottenhamH,EvertonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
33,CharltonH,SouthamptonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
34,ChelseaH,ArsenalA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
35,CoventryH,NewcastleA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
36,DerbyH,MiddlesbroughA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
37,LeicesterH,IpswichA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
38,LiverpoolH,AstonVillaA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
39,BradfordH,ArsenalA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
40,CoventryH,LeedsA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
41,IpswichH,AstonVillaA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
42,LeicesterH,SouthamptonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
43,LiverpoolH,ManCityA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
44,ManUnitedH,SunderlandA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
45,MiddlesbroughH,EvertonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
